,neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,has_availability,predictions
32493,Brooklyn,Williamsburg,Private room,40,7,1,0.04,1,0,no,43
32494,Bronx,Other,Private room,46,2,3,1.13,1,179,yes,45
32495,Manhattan,Lower East Side,Private room,125,2,28,3.39,2,255,yes,123
32496,Brooklyn,Greenpoint,Entire home/apt,250,10,0,,1,155,yes,281
32497,Brooklyn,Williamsburg,Entire home/apt,145,7,8,0.08,1,0,no,160
32498,Brooklyn,Williamsburg,Entire home/apt,200,1,0,,1,0,no,205
32499,Manhattan,Other,Private room,100,5,7,0.77,3,16,yes,86
32500,Brooklyn,Williamsburg,Entire home/apt,300,3,0,,1,0,no,322
32501,Staten Island,Other,Entire home/apt,105,2,132,3.55,1,318,yes,113
32502,Brooklyn,Bedford-Stuyvesant,Private room,50,3,3,0.73,10,333,yes,51
32503,Brooklyn,Bushwick,Private room,50,2,0,,3,77,yes,59
32504,Manhattan,Other,Private room,80,1,0,,1,0,no,92
32505,Manhattan,Financial District,Private room,176,3,123,3.9,3,17,yes,177
32506,Brooklyn,Bushwick,Private room,70,1,15,0.45,1,0,no,82
32507,Staten Island,Other,Entire home/apt,85,2,12,1.91,1,229,yes,79
32508,Manhattan,Other,Entire home/apt,450,5,9,0.33,1,329,yes,441
32509,Manhattan,Upper West Side,Entire home/apt,210,3,25,0.3,1,347,yes,220
32510,Brooklyn,Bedford-Stuyvesant,Private room,60,30,9,0.36,4,189,yes,61
32511,Brooklyn,Williamsburg,Entire home/apt,250,2,3,0.32,2,0,no,248
32512,Brooklyn,Other,Entire home/apt,125,2,11,0.45,1,26,yes,114
32513,Manhattan,Other,Entire home/apt,198,2,37,0.98,1,0,no,201
32514,Manhattan,Other,Private room,110,14,0,,1,283,yes,102
32515,Brooklyn,Greenpoint,Entire home/apt,159,30,7,0.12,52,327,yes,165
32516,Manhattan,Other,Entire home/apt,212,29,0,,327,330,yes,217
32517,Manhattan,Hell's Kitchen,Private room,70,7,8,0.73,47,310,yes,70
32518,Brooklyn,Flatbush,Entire home/apt,88,4,8,0.24,1,0,no,87
32519,Brooklyn,Williamsburg,Private room,55,1,1,0.02,1,0,no,49
32520,Manhattan,Other,Private room,125,2,10,0.22,1,256,yes,130
32521,Brooklyn,Other,Private room,66,1,1,1.0,1,0,no,71
32522,Manhattan,Lower East Side,Entire home/apt,450,7,1,0.02,1,0,no,450
32523,Queens,Other,Private room,40,1,22,1.12,3,332,yes,28
32524,Brooklyn,Bushwick,Private room,80,3,0,,1,0,no,74
32525,Brooklyn,Williamsburg,Private room,60,17,14,0.14,4,362,yes,54
32526,Brooklyn,Williamsburg,Private room,50,1,2,0.07,1,0,no,52
32527,Manhattan,Midtown,Entire home/apt,180,30,0,,1,176,yes,178
32528,Brooklyn,Fort Greene,Entire home/apt,150,15,0,,1,283,yes,151
32529,Manhattan,Hell's Kitchen,Entire home/apt,350,1,0,,1,0,no,346
32530,Manhattan,East Harlem,Private room,69,2,60,1.05,2,271,yes,69
32531,Brooklyn,Other,Entire home/apt,225,5,0,,1,0,no,228
32532,Manhattan,Harlem,Private room,75,2,80,2.69,2,305,yes,79
32533,Queens,Other,Private room,50,1,17,1.34,2,0,no,54
32534,Brooklyn,Williamsburg,Private room,128,1,1,0.05,1,144,yes,122
32535,Brooklyn,Crown Heights,Entire home/apt,105,4,1,0.03,1,0,no,101
32536,Brooklyn,Crown Heights,Entire home/apt,77,3,3,0.2,1,0,no,77
32537,Bronx,Other,Entire home/apt,71,2,118,3.24,1,34,yes,53
32538,Brooklyn,Flatbush,Entire home/apt,90,2,0,,1,10,yes,85
32539,Manhattan,Chelsea,Shared room,450,1,0,,1,89,yes,467
32540,Manhattan,Chelsea,Shared room,75,2,0,,3,336,yes,75
32541,Brooklyn,Bushwick,Private room,44,1,2,2.0,1,55,yes,45
32542,Brooklyn,Other,Private room,80,2,1,0.16,2,65,yes,95
32543,Queens,Other,Private room,50,1,55,1.21,1,332,yes,41
32544,Brooklyn,Greenpoint,Private room,90,1,116,3.17,1,76,yes,84
32545,Brooklyn,Other,Entire home/apt,75,1,0,,1,0,no,73
32546,Manhattan,Hell's Kitchen,Entire home/apt,300,1,0,,3,362,yes,301
32547,Bronx,Other,Entire home/apt,309,2,10,5.56,1,173,yes,303
32548,Manhattan,Midtown,Private room,100,1,0,,8,311,yes,76
32549,Manhattan,East Harlem,Shared room,55,1,10,0.2,1,0,no,67
32550,Brooklyn,Other,Private room,88,2,25,1.04,2,0,no,86
32551,Manhattan,Other,Entire home/apt,159,2,13,0.25,1,10,yes,152
32552,Brooklyn,Williamsburg,Entire home/apt,161,2,2,2.0,1,288,yes,161
32553,Bronx,Other,Private room,65,3,26,2.83,2,46,yes,60
32554,Manhattan,Financial District,Entire home/apt,200,1,8,0.81,1,0,no,205
32555,Brooklyn,Flatbush,Entire home/apt,90,6,33,0.69,1,0,no,98
32556,Manhattan,Chelsea,Entire home/apt,120,3,39,0.84,1,1,yes,110
32557,Brooklyn,Williamsburg,Private room,180,1,1,0.05,1,0,no,193
32558,Queens,Astoria,Private room,75,4,87,2.61,2,57,yes,67
32559,Manhattan,Harlem,Private room,50,1,0,,1,0,no,77
32560,Brooklyn,Williamsburg,Entire home/apt,200,5,10,0.28,1,117,yes,202
32561,Brooklyn,Bushwick,Private room,75,1,22,9.17,1,70,yes,69
32562,Manhattan,Hell's Kitchen,Entire home/apt,179,2,0,,1,12,yes,179
32563,Brooklyn,Bedford-Stuyvesant,Entire home/apt,120,2,141,3.35,1,215,yes,110
32564,Queens,Other,Entire home/apt,125,3,5,0.22,1,0,no,126
32565,Manhattan,Hell's Kitchen,Entire home/apt,151,6,22,2.1,2,56,yes,137
32566,Queens,Other,Private room,75,1,33,4.63,3,81,yes,64
32567,Manhattan,Harlem,Private room,55,2,114,3.34,1,270,yes,55
32568,Queens,Astoria,Private room,40,1,0,,1,0,no,46
32569,Brooklyn,Park Slope,Entire home/apt,129,3,7,0.38,1,12,yes,122
32570,Manhattan,Other,Entire home/apt,200,3,1,0.03,1,0,no,213
32571,Manhattan,Midtown,Entire home/apt,175,14,8,0.28,1,310,yes,184
32572,Brooklyn,Bushwick,Private room,70,2,1,0.02,1,0,no,84
32573,Queens,Other,Entire home/apt,89,10,10,0.18,1,222,yes,95
32574,Manhattan,Financial District,Entire home/apt,365,2,0,,1,18,yes,367
32575,Manhattan,Upper West Side,Private room,90,1,51,3.88,4,39,yes,83
32576,Brooklyn,Williamsburg,Entire home/apt,250,31,1,1.0,1,90,yes,244
32577,Manhattan,Harlem,Entire home/apt,140,2,23,1.64,1,0,no,134
32578,Manhattan,Hell's Kitchen,Private room,155,1,0,,1,0,no,166
32579,Manhattan,Upper West Side,Private room,70,7,5,0.19,1,0,no,68
32580,Brooklyn,Other,Entire home/apt,95,18,2,1.62,2,38,yes,95
32581,Manhattan,Other,Entire home/apt,225,3,0,,1,0,no,227
32582,Brooklyn,Bedford-Stuyvesant,Private room,65,1,85,1.16,15,345,yes,68
32583,Manhattan,Upper East Side,Entire home/apt,86,3,12,1.08,1,0,no,80
32584,Brooklyn,Bedford-Stuyvesant,Entire home/apt,175,2,60,3.88,1,297,yes,173
32585,Manhattan,Chelsea,Private room,120,21,2,1.54,3,332,yes,95
32586,Manhattan,Upper East Side,Shared room,130,7,0,,1,0,no,135
32587,Bronx,Other,Entire home/apt,95,3,5,0.66,3,311,yes,101
32588,Brooklyn,Other,Private room,99,2,1,1.0,3,8,yes,103
32589,Bronx,Other,Private room,80,30,0,,1,365,yes,84
32590,Brooklyn,East Flatbush,Private room,55,1,0,,1,178,yes,55
32591,Bronx,Other,Private room,80,2,2,0.06,2,220,yes,73
32592,Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,130,1,16,1.32,1,0,no,134
32593,Manhattan,Lower East Side,Private room,85,1,77,3.68,2,0,no,85
32594,Manhattan,Hell's Kitchen,Entire home/apt,141,30,0,,2,115,yes,131
32595,Manhattan,Upper West Side,Private room,59,1,26,0.68,6,326,yes,63
32596,Manhattan,Other,Entire home/apt,100,25,0,,1,54,yes,105
32597,Queens,Other,Private room,45,7,4,0.46,3,21,yes,34
32598,Manhattan,Upper West Side,Private room,75,5,2,0.09,1,0,no,68
32599,Brooklyn,East Flatbush,Private room,110,2,6,2.54,4,354,yes,121
32600,Queens,Other,Private room,88,3,1,1.0,3,336,yes,88
32601,Manhattan,Hell's Kitchen,Private room,135,1,12,5.9,1,278,yes,135
32602,Manhattan,Upper East Side,Private room,250,1,1,0.02,1,0,no,232
32603,Manhattan,Harlem,Private room,79,6,31,0.84,3,18,yes,80
32604,Brooklyn,Other,Private room,65,3,0,,1,327,yes,70
32605,Brooklyn,Prospect-Lefferts Gardens,Private room,55,3,0,,1,0,no,74
32606,Manhattan,East Village,Entire home/apt,200,2,0,,2,314,yes,211
32607,Manhattan,Lower East Side,Entire home/apt,250,1,24,3.17,2,280,yes,249
32608,Manhattan,Harlem,Entire home/apt,99,2,12,1.38,1,6,yes,104
32609,Queens,Other,Entire home/apt,125,30,0,,1,365,yes,131
32610,Queens,Other,Entire home/apt,199,3,5,3.13,1,145,yes,192
32611,Manhattan,Upper West Side,Entire home/apt,169,1,0,,1,22,yes,160
32612,Bronx,Other,Private room,50,2,0,,1,0,no,67
32613,Manhattan,Lower East Side,Private room,100,2,165,4.77,2,2,yes,114
32614,Queens,Astoria,Entire home/apt,160,6,2,0.19,1,19,yes,159
32615,Brooklyn,Bushwick,Private room,55,29,0,,3,66,yes,68
32616,Manhattan,Hell's Kitchen,Entire home/apt,239,30,0,,1,365,yes,229
32617,Brooklyn,Other,Entire home/apt,90,2,73,3.71,1,318,yes,90
32618,Brooklyn,Williamsburg,Private room,150,1,12,0.21,1,180,yes,123
32619,Manhattan,East Village,Entire home/apt,190,1,0,,1,0,no,178
32620,Manhattan,East Harlem,Entire home/apt,195,2,0,,1,0,no,201
32621,Manhattan,Midtown,Private room,699,3,3,0.09,12,365,yes,701
32622,Brooklyn,Other,Entire home/apt,700,4,4,0.21,1,15,yes,703
32623,Brooklyn,Clinton Hill,Private room,44,6,6,0.52,1,1,yes,44
32624,Manhattan,Harlem,Entire home/apt,170,3,52,1.0,2,316,yes,181
32625,Queens,Astoria,Private room,50,3,1,0.03,1,0,no,54
32626,Brooklyn,Williamsburg,Private room,89,3,0,,3,0,no,88
32627,Manhattan,Midtown,Private room,198,2,30,0.89,13,333,yes,198
32628,Manhattan,Financial District,Entire home/apt,128,5,36,3.06,1,136,yes,135
32629,Brooklyn,Bushwick,Private room,70,1,111,3.06,3,364,yes,70
32630,Brooklyn,Bedford-Stuyvesant,Private room,100,3,0,,1,0,no,102
32631,Brooklyn,Other,Entire home/apt,110,5,1,0.03,1,0,no,118
32632,Manhattan,Harlem,Private room,40,1,5,0.08,2,0,no,28
32633,Manhattan,Washington Heights,Private room,50,3,122,2.68,1,199,yes,56
32634,Manhattan,Upper West Side,Entire home/apt,150,5,1,0.05,1,0,no,155
32635,Queens,Other,Private room,64,1,44,2.21,1,0,no,73
32636,Manhattan,West Village,Entire home/apt,255,2,3,0.39,1,0,no,267
32637,Brooklyn,Greenpoint,Entire home/apt,125,2,0,,1,0,no,122
32638,Manhattan,Hell's Kitchen,Entire home/apt,285,2,44,4.05,3,70,yes,279
32639,Manhattan,East Village,Entire home/apt,200,2,0,,1,0,no,207
32640,Manhattan,Upper West Side,Entire home/apt,87,1,0,,1,0,no,89
32641,Queens,Other,Entire home/apt,95,1,6,2.2,1,35,yes,101
32642,Brooklyn,Williamsburg,Private room,99,1,2,0.05,1,0,no,90
32643,Queens,Other,Entire home/apt,53,6,0,,1,66,yes,31
32644,Manhattan,East Village,Entire home/apt,150,4,9,1.12,1,0,no,144
32645,Manhattan,Lower East Side,Private room,219,1,0,,1,362,yes,214
32646,Brooklyn,Bushwick,Private room,65,1,44,5.34,3,27,yes,58
32647,Manhattan,Financial District,Entire home/apt,205,29,1,0.07,96,338,yes,208
32648,Brooklyn,Bushwick,Entire home/apt,200,7,0,,1,0,no,202
32649,Brooklyn,Bushwick,Private room,65,1,37,3.1,3,0,no,68
32650,Manhattan,Upper West Side,Entire home/apt,150,30,0,,9,311,yes,144
32651,Manhattan,Hell's Kitchen,Entire home/apt,80,30,32,0.37,7,365,yes,94
32652,Staten Island,Other,Private room,110,2,0,,1,364,yes,120
32653,Manhattan,West Village,Entire home/apt,209,30,0,,87,364,yes,215
32654,Brooklyn,Williamsburg,Entire home/apt,250,2,1,0.02,1,0,no,232
32655,Brooklyn,Bedford-Stuyvesant,Entire home/apt,300,2,0,,4,275,yes,309
32656,Manhattan,Lower East Side,Private room,95,1,9,0.68,1,0,no,100
32657,Brooklyn,Bushwick,Entire home/apt,85,2,231,1.96,2,22,yes,86
32658,Manhattan,West Village,Entire home/apt,175,30,0,,1,0,no,147
32659,Brooklyn,Flatbush,Private room,91,3,33,0.65,1,90,yes,99
32660,Manhattan,Harlem,Private room,85,6,130,1.42,2,97,yes,82
32661,Manhattan,Harlem,Private room,88,2,171,2.93,2,234,yes,88
32662,Manhattan,Other,Entire home/apt,649,2,17,2.59,3,281,yes,647
32663,Brooklyn,Williamsburg,Private room,72,1,154,4.79,1,215,yes,62
32664,Manhattan,Other,Private room,230,5,10,0.23,1,0,no,230
32665,Manhattan,Other,Entire home/apt,450,3,2,0.05,1,0,no,450
32666,Brooklyn,Other,Entire home/apt,88,3,243,2.75,1,217,yes,79
32667,Manhattan,Harlem,Private room,150,1,1,1.0,1,59,yes,164
32668,Brooklyn,Bedford-Stuyvesant,Private room,80,3,90,1.39,1,199,yes,75
32669,Bronx,Other,Entire home/apt,100,1,0,,1,173,yes,114
32670,Manhattan,Financial District,Entire home/apt,185,2,2,1.28,327,291,yes,196
32671,Manhattan,Upper West Side,Entire home/apt,320,30,8,0.38,25,261,yes,302
32672,Brooklyn,Bedford-Stuyvesant,Private room,44,2,26,4.94,3,118,yes,53
32673,Manhattan,West Village,Private room,88,2,2,0.05,1,348,yes,80
32674,Brooklyn,Bedford-Stuyvesant,Private room,100,2,31,1.71,5,358,yes,110
32675,Staten Island,Other,Private room,50,30,0,,3,179,yes,30
32676,Brooklyn,Park Slope,Private room,60,3,22,1.09,1,6,yes,49
32677,Brooklyn,Bushwick,Private room,47,4,1,0.04,2,0,no,41
32678,Manhattan,Financial District,Entire home/apt,165,30,0,,96,365,yes,157
32679,Queens,Astoria,Entire home/apt,125,2,26,0.64,1,0,no,111
32680,Manhattan,Chelsea,Entire home/apt,175,5,3,0.16,1,0,no,162
32681,Brooklyn,Williamsburg,Private room,75,2,30,2.65,2,2,yes,76
32682,Staten Island,Other,Entire home/apt,70,5,83,2.56,1,291,yes,79
32683,Brooklyn,Williamsburg,Private room,77,7,1,0.02,1,0,no,78
32684,Manhattan,Harlem,Entire home/apt,400,2,1,0.02,1,0,no,403
32685,Queens,Other,Entire home/apt,125,1,2,0.05,1,0,no,138
32686,Brooklyn,Fort Greene,Private room,150,2,0,,1,0,no,161
32687,Manhattan,Lower East Side,Private room,89,5,4,0.06,1,0,no,95
32688,Manhattan,West Village,Entire home/apt,200,4,45,0.59,1,48,yes,200
32689,Brooklyn,Williamsburg,Private room,100,6,6,0.45,2,3,yes,98
32690,Manhattan,Upper West Side,Private room,80,3,17,0.51,1,129,yes,97
32691,Brooklyn,Bushwick,Entire home/apt,99,2,71,4.8,1,140,yes,120
32692,Queens,Other,Entire home/apt,110,1,3,0.16,1,0,no,109
32693,Brooklyn,Bedford-Stuyvesant,Private room,100,1,2,0.26,1,311,yes,96
32694,Bronx,Other,Shared room,40,1,26,1.82,1,141,yes,41
32695,Manhattan,Hell's Kitchen,Entire home/apt,200,1,2,2.0,1,81,yes,196
32696,Manhattan,Financial District,Entire home/apt,205,2,8,2.64,327,327,yes,225
32697,Manhattan,Other,Private room,100,1,0,,7,300,yes,99
32698,Queens,Other,Entire home/apt,78,2,4,0.44,1,0,no,93
32699,Brooklyn,Other,Private room,59,2,35,3.85,4,176,yes,56
32700,Manhattan,Other,Private room,65,14,8,0.58,2,35,yes,55
32701,Brooklyn,Bedford-Stuyvesant,Private room,40,2,5,0.12,4,87,yes,45
32702,Manhattan,Upper East Side,Entire home/apt,150,8,0,,1,0,no,172
32703,Manhattan,Lower East Side,Private room,69,4,0,,1,0,no,75
32704,Brooklyn,Bedford-Stuyvesant,Entire home/apt,100,3,92,3.26,1,4,yes,104
32705,Manhattan,East Village,Entire home/apt,300,2,1,0.02,1,0,no,316
32706,Brooklyn,Flatbush,Entire home/apt,95,1,2,0.91,1,362,yes,125
32707,Manhattan,East Harlem,Entire home/apt,149,4,14,0.28,1,0,no,154
32708,Manhattan,East Village,Entire home/apt,165,30,0,,2,56,yes,181
32709,Brooklyn,East Flatbush,Entire home/apt,135,1,193,4.87,4,270,yes,135
32710,Brooklyn,Other,Entire home/apt,65,1,119,9.13,1,61,yes,52
32711,Manhattan,Hell's Kitchen,Shared room,299,2,37,1.8,5,188,yes,304
32712,Queens,Astoria,Entire home/apt,69,4,0,,1,0,no,84
32713,Brooklyn,Greenpoint,Entire home/apt,250,7,1,0.16,2,35,yes,244
32714,Brooklyn,Williamsburg,Private room,79,1,13,0.3,1,0,no,80
32715,Brooklyn,Williamsburg,Private room,90,2,2,2.0,1,10,yes,80
32716,Manhattan,East Harlem,Private room,110,2,68,1.39,5,44,yes,117
32717,Manhattan,East Harlem,Entire home/apt,200,3,28,0.65,1,3,yes,211
32718,Manhattan,Hell's Kitchen,Private room,255,1,192,3.91,11,305,yes,255
32719,Queens,Other,Private room,48,1,7,3.18,3,244,yes,41
32720,Manhattan,Harlem,Private room,50,1,15,0.62,2,0,no,45
32721,Manhattan,West Village,Entire home/apt,400,2,1,0.65,5,102,yes,388
32722,Brooklyn,Bushwick,Private room,49,1,43,0.82,1,25,yes,49
32723,Brooklyn,Clinton Hill,Entire home/apt,300,3,0,,1,0,no,304
32724,Manhattan,Upper East Side,Entire home/apt,140,2,4,1.4,1,0,no,145
32725,Manhattan,Washington Heights,Private room,35,1,34,4.25,1,4,yes,36
32726,Manhattan,Hell's Kitchen,Private room,92,1,140,4.29,2,152,yes,117
32727,Manhattan,Hell's Kitchen,Shared room,75,1,59,3.64,6,174,yes,95
32728,Manhattan,Upper West Side,Entire home/apt,180,4,0,,1,0,no,173
32729,Manhattan,Midtown,Entire home/apt,200,7,0,,1,0,no,184
32730,Queens,Other,Entire home/apt,110,24,0,,1,183,yes,96
32731,Brooklyn,Other,Entire home/apt,140,2,108,2.89,1,278,yes,140
32732,Manhattan,Other,Private room,85,3,16,0.51,1,9,yes,86
32733,Brooklyn,Bushwick,Entire home/apt,250,1,103,5.5,4,69,yes,240
32734,Manhattan,East Harlem,Entire home/apt,135,2,56,3.11,1,66,yes,128
32735,Queens,Other,Private room,39,1,15,6.25,8,0,no,35
32736,Brooklyn,Bedford-Stuyvesant,Private room,95,1,22,1.33,1,36,yes,85
32737,Brooklyn,Williamsburg,Private room,80,10,1,0.07,1,0,no,100
32738,Brooklyn,Bushwick,Private room,72,1,4,1.82,1,180,yes,76
32739,Brooklyn,Bushwick,Private room,37,2,8,1.25,2,1,yes,49
32740,Manhattan,Washington Heights,Entire home/apt,290,4,21,0.37,1,193,yes,294
32741,Queens,Other,Entire home/apt,53,6,0,,1,66,yes,31
32742,Brooklyn,Crown Heights,Private room,140,1,1,0.04,1,0,no,132
32743,Brooklyn,Flatbush,Entire home/apt,69,1,0,,1,0,no,78
32744,Manhattan,Upper West Side,Entire home/apt,180,1,0,,1,0,no,174
32745,Manhattan,Harlem,Entire home/apt,119,7,6,0.43,1,201,yes,119
32746,Brooklyn,East Flatbush,Entire home/apt,105,1,43,1.17,1,13,yes,116
32747,Manhattan,Financial District,Entire home/apt,520,4,8,1.19,1,38,yes,513
32748,Manhattan,East Harlem,Private room,80,3,2,2.0,3,242,yes,84
32749,Brooklyn,Other,Entire home/apt,135,3,15,0.32,1,10,yes,141
32750,Brooklyn,Clinton Hill,Entire home/apt,220,2,57,3.8,1,77,yes,228
32751,Brooklyn,Prospect-Lefferts Gardens,Private room,75,3,67,1.52,1,296,yes,69
32752,Manhattan,Upper West Side,Entire home/apt,195,30,45,0.73,2,327,yes,184
32753,Brooklyn,Bedford-Stuyvesant,Entire home/apt,50,7,1,0.03,1,0,no,39
32754,Queens,Other,Private room,39,30,3,0.29,37,32,yes,52
32755,Manhattan,Harlem,Private room,150,1,1,1.0,1,59,yes,164
32756,Manhattan,Other,Private room,110,1,43,3.25,3,348,yes,126
32757,Brooklyn,Williamsburg,Private room,65,3,6,0.65,2,88,yes,74
32758,Manhattan,Upper East Side,Entire home/apt,130,2,0,,1,0,no,130
32759,Manhattan,East Village,Private room,50,1,1,0.02,1,0,no,51
32760,Staten Island,Other,Private room,50,1,0,,1,0,no,58
32761,Manhattan,Midtown,Private room,72,6,0,,1,0,no,86
32762,Manhattan,Harlem,Entire home/apt,105,4,9,0.18,1,0,no,76
32763,Queens,Other,Entire home/apt,190,4,0,,1,152,yes,161
32764,Brooklyn,Williamsburg,Entire home/apt,105,5,11,0.3,1,0,no,96
32765,Manhattan,Upper East Side,Entire home/apt,130,5,0,,1,188,yes,134
32766,Queens,Astoria,Private room,59,2,30,2.54,3,132,yes,61
32767,Manhattan,Upper West Side,Private room,80,1,14,3.89,4,0,no,81
32768,Manhattan,Washington Heights,Private room,50,2,0,,1,0,no,59
32769,Brooklyn,Greenpoint,Private room,130,1,0,,3,360,yes,138
32770,Manhattan,East Harlem,Entire home/apt,250,4,7,0.33,1,0,no,230
32771,Brooklyn,Bedford-Stuyvesant,Private room,55,10,14,0.31,3,301,yes,68
32772,Brooklyn,Bushwick,Entire home/apt,180,3,6,2.86,1,119,yes,191
32773,Brooklyn,Bushwick,Private room,50,2,93,2.39,5,202,yes,42
32774,Queens,Other,Private room,85,2,5,0.21,1,0,no,93
32775,Brooklyn,Bedford-Stuyvesant,Entire home/apt,140,2,54,1.91,1,267,yes,145
32776,Queens,Long Island City,Private room,59,1,2,1.54,1,349,yes,66
32777,Brooklyn,Williamsburg,Entire home/apt,289,2,39,0.58,4,88,yes,297
32778,Queens,Other,Private room,60,1,0,,1,359,yes,51
32779,Manhattan,Washington Heights,Private room,55,1,2,0.13,1,341,yes,62
32780,Manhattan,East Village,Entire home/apt,170,30,136,6.18,1,291,yes,158
32781,Manhattan,East Harlem,Entire home/apt,102,4,15,0.42,1,0,no,98
32782,Brooklyn,Crown Heights,Entire home/apt,200,4,2,0.25,1,8,yes,205
32783,Brooklyn,Other,Private room,70,22,16,0.29,3,173,yes,84
32784,Brooklyn,Crown Heights,Private room,42,4,36,2.34,2,292,yes,42
32785,Brooklyn,Williamsburg,Private room,95,2,24,1.08,1,0,no,101
32786,Brooklyn,Bedford-Stuyvesant,Entire home/apt,75,3,87,4.91,1,267,yes,72
32787,Queens,Other,Private room,60,1,2,2.0,6,179,yes,63
32788,Bronx,Other,Private room,40,1,1,1.0,3,175,yes,68
32789,Brooklyn,Williamsburg,Entire home/apt,295,2,110,1.74,3,151,yes,291
32790,Queens,Other,Entire home/apt,80,30,3,0.44,1,109,yes,80
32791,Manhattan,Financial District,Entire home/apt,180,2,3,1.14,1,5,yes,182
32792,Brooklyn,Other,Entire home/apt,200,30,19,1.17,2,179,yes,198
32793,Queens,Other,Private room,49,1,1,0.79,1,70,yes,49
32794,Brooklyn,Clinton Hill,Entire home/apt,165,14,4,0.19,2,179,yes,179
32795,Manhattan,Harlem,Private room,75,1,13,5.27,1,74,yes,80
32796,Queens,Other,Private room,69,2,2,0.23,2,74,yes,79
32797,Manhattan,Financial District,Private room,270,5,2,0.32,4,364,yes,280
32798,Brooklyn,Bushwick,Private room,155,1,4,0.19,2,0,no,160
32799,Brooklyn,Williamsburg,Entire home/apt,100,30,2,0.15,4,332,yes,94
32800,Manhattan,East Harlem,Entire home/apt,185,1,5,1.2,1,338,yes,186
32801,Brooklyn,Williamsburg,Entire home/apt,451,2,72,0.86,1,331,yes,433
32802,Manhattan,Harlem,Private room,55,3,58,1.76,1,0,no,52
32803,Manhattan,East Village,Entire home/apt,150,3,5,0.14,1,0,no,150
32804,Queens,Other,Private room,38,1,16,1.42,1,362,yes,35
32805,Brooklyn,Crown Heights,Private room,60,3,5,0.13,1,0,no,69
32806,Manhattan,Upper East Side,Entire home/apt,150,5,11,0.24,1,0,no,150
32807,Brooklyn,Prospect-Lefferts Gardens,Private room,55,1,32,3.81,1,0,no,52
32808,Brooklyn,Bedford-Stuyvesant,Private room,65,2,24,3.83,3,310,yes,69
32809,Manhattan,Midtown,Private room,198,2,30,0.89,13,333,yes,198
32810,Brooklyn,Williamsburg,Private room,75,2,0,,1,0,no,89
32811,Manhattan,Harlem,Entire home/apt,125,1,59,5.55,1,262,yes,138
32812,Manhattan,Financial District,Entire home/apt,232,29,1,0.12,96,299,yes,237
32813,Brooklyn,Bedford-Stuyvesant,Private room,40,14,1,0.32,1,35,yes,28
32814,Manhattan,Hell's Kitchen,Private room,135,2,123,2.81,1,124,yes,143
32815,Manhattan,Harlem,Entire home/apt,50,3,1,0.03,1,0,no,56
32816,Brooklyn,Park Slope,Entire home/apt,180,4,4,0.22,1,0,no,166
32817,Manhattan,Hell's Kitchen,Private room,110,7,1,0.06,1,99,yes,134
32818,Brooklyn,Bedford-Stuyvesant,Private room,58,2,14,5.19,8,261,yes,57
32819,Manhattan,Other,Entire home/apt,299,2,28,1.15,1,64,yes,292
32820,Manhattan,Chelsea,Entire home/apt,180,3,24,1.12,1,14,yes,181
32821,Manhattan,Hell's Kitchen,Entire home/apt,199,30,2,0.08,121,365,yes,199
32822,Brooklyn,Flatbush,Private room,50,3,0,,2,311,yes,41
32823,Brooklyn,Bedford-Stuyvesant,Private room,40,1,2,0.04,1,0,no,43
32824,Manhattan,Upper East Side,Entire home/apt,230,3,20,0.26,1,282,yes,220
32825,Manhattan,Hell's Kitchen,Entire home/apt,250,1,34,3.01,1,20,yes,256
32826,Brooklyn,Other,Private room,32,29,2,0.17,1,1,yes,38
32827,Brooklyn,Williamsburg,Private room,65,14,0,,1,0,no,77
32828,Manhattan,Other,Entire home/apt,250,4,32,1.71,1,188,yes,256
32829,Manhattan,Midtown,Entire home/apt,179,2,117,4.94,1,235,yes,178
32830,Brooklyn,Flatbush,Entire home/apt,70,4,26,0.39,1,81,yes,63
32831,Brooklyn,Clinton Hill,Entire home/apt,125,5,0,,1,0,no,132
32832,Manhattan,Other,Private room,50,2,74,1.98,1,310,yes,41
32833,Staten Island,Other,Private room,100,2,77,3.9,1,336,yes,98
32834,Manhattan,Other,Private room,120,1,5,3.33,1,55,yes,126
32835,Brooklyn,Crown Heights,Entire home/apt,125,2,70,1.85,1,132,yes,139
32836,Brooklyn,Greenpoint,Entire home/apt,190,2,5,0.32,2,5,yes,171
32837,Brooklyn,Bushwick,Private room,50,1,6,4.74,2,311,yes,56
32838,Brooklyn,Crown Heights,Entire home/apt,220,3,4,4.0,1,76,yes,222
32839,Brooklyn,Williamsburg,Entire home/apt,349,1,2,0.14,3,105,yes,367
32840,Brooklyn,Bedford-Stuyvesant,Private room,77,2,145,2.42,1,365,yes,91
32841,Manhattan,East Harlem,Shared room,75,7,1,0.04,1,0,no,80
32842,Manhattan,Other,Entire home/apt,205,3,2,0.1,1,0,no,201
32843,Manhattan,Hell's Kitchen,Private room,79,2,430,3.47,1,220,yes,88
32844,Brooklyn,Other,Entire home/apt,125,1,27,3.82,1,18,yes,131
32845,Queens,Other,Entire home/apt,115,3,143,4.43,1,3,yes,114
32846,Manhattan,Harlem,Private room,100,2,1,0.04,1,0,no,105
32847,Brooklyn,Williamsburg,Private room,58,30,0,,5,333,yes,67
